    237,        1.375,        1.125,           0.
    238,        1.375,           1.,           0.
    239,        1.375,        0.875,           0.
    240,        1.375,         0.75,           0.
    241,        1.375,        0.625,           0.
    242,        1.375,          0.5,           0.
    243,        1.375,        0.375,           0.
    244,        1.375,         0.25,           0.
    245,        1.375,        0.125,           0.
    246,        1.375,           0.,           0.
    247,         1.25,           5.,         0.25
    248,         1.25,        4.875,         0.25
    249,         1.25,         4.75,         0.25
    250,         1.25,        4.625,         0.25
    251,         1.25,          4.5,         0.25
    252,         1.25,        4.375,         0.25
    253,         1.25,         4.25,         0.25
    254,         1.25,        4.125,         0.25
    255,         1.25,           4.,         0.25
    256,         1.25,        3.875,         0.25
    257,         1.25,         3.75,         0.25
    258,         1.25,        3.625,         0.25
    259,         1.25,          3.5,         0.25
    260,         1.25,        3.375,         0.25
    261,         1.25,         3.25,         0.25
    262,         1.25,        3.125,         0.25
    263,         1.25,           3.,         0.25
    264,         1.25,        2.875,         0.25
    265,         1.25,         2.75,         0.25
    266,         1.25,        2.625,         0.25
    267,         1.25,          2.5,         0.25
    268,         1.25,        2.375,         0.25
    269,         1.25,         2.25,         0.25
    270,         1.25,        2.125,         0.25
    271,         1.25,           2.,         0.25
    272,         1.25,        1.875,         0.25
    273,         1.25,         1.75,         0.25
    274,         1.25,        1.625,         0.25
    275,         1.25,          1.5,         0.25
    276,         1.25,        1.375,         0.25
    277,         1.25,         1.25,         0.25
    278,         1.25,        1.125,         0.25
    279,         1.25,           1.,         0.25
    280,         1.25,        0.875,         0.25
    281,         1.25,         0.75,         0.25
    282,         1.25,        0.625,         0.25
    283,         1.25,          0.5,         0.25
    284,         1.25,        0.375,         0.25
    285,         1.25,         0.25,         0.25
    286,         1.25,        0.125,         0.25
    287,         1.25,           0.,         0.25
    288,         1.25,           5.,        0.125
    289,         1.25,        4.875,        0.125
    290,         1.25,         4.75,        0.125
    291,         1.25,        4.625,        0.125
    292,         1.25,          4.5,        0.125
    293,         1.25,        4.375,        0.125
    294,         1.25,         4.25,        0.125
    295,         1.25,        4.125,        0.125
    296,         1.25,           4.,        0.125
    297,         1.25,        3.875,        0.125
    298,         1.25,         3.75,        0.125
    299,         1.25,        3.625,        0.125
    300,         1.25,          3.5,        0.125
    301,         1.25,        3.375,        0.125
    302,         1.25,         3.25,        0.125
    303,         1.25,        3.125,        0.125
    304,         1.25,           3.,        0.125
    305,         1.25,        2.875,        0.125
    306,         1.25,         2.75,        0.125
    307,         1.25,        2.625,        0.125
    308,         1.25,          2.5,        0.125
    309,         1.25,        2.375,        0.125
    310,         1.25,         2.25,        0.125
    311,         1.25,        2.125,        0.125
    312,         1.25,           2.,        0.125
    313,         1.25,        1.875,        0.125
    314,         1.25,         1.75,        0.125
    315,         1.25,        1.625,        0.125
    316,         1.25,          1.5,        0.125
    317,         1.25,        1.375,        0.125
    318,         1.25,         1.25,        0.125
    319,         1.25,        1.125,        0.125
    320,         1.25,           1.,        0.125
    321,         1.25,        0.875,        0.125
    322,         1.25,         0.75,        0.125
    323,         1.25,        0.625,        0.125
    324,         1.25,          0.5,        0.125
    325,         1.25,        0.375,        0.125
    326,         1.25,         0.25,        0.125
    327,         1.25,        0.125,        0.125
    328,         1.25,           0.,        0.125
    329,         1.25,           5.,           0.
    330,         1.25,        4.875,           0.
    331,         1.25,         4.75,           0.
    332,         1.25,        4.625,           0.
    333,         1.25,          4.5,           0.
    334,         1.25,        4.375,           0.
    335,         1.25,         4.25,           0.
    336,         1.25,        4.125,           0.
    337,         1.25,           4.,           0.
